"文件","原行号","原入口","原中文","原英文","改写中文","改写英文","当前结论"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","995","languageCopy.zh-CN.settingsWorkspace.runtime.loginShell","作为 login shell 启动","Start as login shell","启动时加载登录 Shell 配置","Load login shell configuration at startup","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","996","languageCopy.zh-CN.settingsWorkspace.runtime.nonLoginShell","非 login shell 启动","Start as non-login shell","不加载登录 Shell 配置","Do not load login shell configuration","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1021","languageCopy.zh-CN.settingsWorkspace.telegram.pollingDescription","只展示真实 polling update，不生成假 Telegram 消息。","Only shows real polling updates. Zeus does not generate fake Telegram messages.","查看从 Telegram 收到的消息及连接记录。","View messages received from Telegram and connection activity.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1023","languageCopy.zh-CN.settingsWorkspace.telegram.emptyPollingLogs","暂无真实 Telegram 轮询日志。","No real Telegram polling logs yet.","暂无 Telegram 连接记录。","No Telegram connection activity yet.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1032","languageCopy.zh-CN.settingsWorkspace.security.externalApiKeyHelp","${label} · 只保存到 macOS 钥匙串；不会声明外部 AI 服务已可用。","${label} · Stored only in macOS Keychain. Zeus does not claim the external AI service is available.","${label} · 密钥保存在 macOS 钥匙串中。","${label} · The key is stored in macOS Keychain.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1038","languageCopy.zh-CN.settingsWorkspace.security.allowlistDescription","只有允许的真实 Telegram 用户可远程触发操作。","Only allowed real Telegram users can trigger remote operations.","只有列表中的 Telegram 用户可以远程操作 Zeus。","Only Telegram users on this list can control Zeus remotely.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1049","languageCopy.zh-CN.settingsWorkspace.security.auditDescription","只展示真实本机安全审计记录。","Only shows real local security audit records.","查看本机的授权和敏感操作记录。","Review approvals and sensitive actions on this computer.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1050","languageCopy.zh-CN.settingsWorkspace.security.emptyAudit","暂无真实安全审计记录。","No real security audit records yet.","暂无安全操作记录。","No security activity yet.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1060","languageCopy.zh-CN.settingsWorkspace.git.remoteDescription","只用于推送确认，真实推送仍需要二次确认。","Only used for push confirmations. The real push still requires a second confirmation.","选择要推送到的远程仓库；执行前需要确认。","Select the remote repository to push to. Confirmation is required before pushing.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1076","languageCopy.zh-CN.settingsWorkspace.release.notarizationDescription","不会伪造签名或公证成功；没有 Apple 凭据时只允许未签名验证。","Zeus does not fake signing or notarization success. Without Apple credentials, only unsigned verification is allowed.","正式签名和公证需要有效的 Apple 发布凭据。","Signing and notarization require valid Apple release credentials.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1089","languageCopy.zh-CN.settingsWorkspace.release.detailDescription","不把未签名、未公证产物伪装成正式发布。","Unsigned or non-notarized artifacts are never presented as a production release.","查看安装包的签名、公证和发布状态。","Review the package’s signing, notarization, and release status.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1090","languageCopy.zh-CN.settingsWorkspace.release.autoUpdateReserved","自动更新预留","Auto-update reserved","更新方式","Update method","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1093","languageCopy.zh-CN.settingsWorkspace.release.realReleaseStatus","真实发布状态","Real release status","发布状态","Release status","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1103","languageCopy.zh-CN.settingsWorkspace.release.updateReasons.current","当前版本已不低于发布清单中的最新版本。","The current version is already at or above the release manifest version.","当前已是最新版本。","You are using the latest version.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1182","languageCopy.zh-CN.gitDiffWorkspace.emptyChangedFiles","当前仓库暂无已读取变更。","No loaded changes in the current repository.","当前没有可显示的文件变更。","There are no file changes to display.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1196","languageCopy.zh-CN.gitDiffWorkspace.switchBranchHelp","只填写真实存在或准备创建的分支名，不在前端伪造 Git 状态。","Use a real or intended branch name. Zeus does not invent Git state in the UI.","填写要切换到的分支名称。","Enter the name of the branch to switch to.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1199","languageCopy.zh-CN.gitDiffWorkspace.baseRefHelp","用于生成真实 diff 的 base ref，影响审查范围。","Controls the real diff base ref and therefore the review scope.","选择用于比较文件差异的分支或提交。","Choose a branch or commit to compare changes against.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1202","languageCopy.zh-CN.gitDiffWorkspace.stashRefHelp","用于选择真实 stash 记录，恢复前仍需要二次确认。","Selects a real stash entry. Restoring it still requires confirmation.","选择之前临时保存的修改（Git stash）；恢复前需要确认。","Choose previously shelved changes (Git stash). Restoring them requires confirmation.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1205","languageCopy.zh-CN.gitDiffWorkspace.remoteNameHelp","用于 push 等远端写操作，必须来自真实 Git remote。","Used for remote writes such as push. It must come from a real Git remote.","选择项目已配置的远程仓库。","Choose a remote repository configured for this project.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1208","languageCopy.zh-CN.gitDiffWorkspace.targetRefHelp","用于远端目标 ref；空值不会自动推断成安全目标。","Remote target ref. Empty values are not auto-inferred as safe targets.","填写远程目标分支，不能留空。","Enter the remote target branch. This field is required.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1218","languageCopy.zh-CN.gitDiffWorkspace.commitMessageStatusHelp","commit 前置条件","Commit prerequisite","提交前需要填写","Required before committing","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1252","languageCopy.zh-CN.gitDiffWorkspace.localExecutionChain","本机执行链","Local execution chain","本机执行","Runs on this computer","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1258","languageCopy.zh-CN.gitDiffWorkspace.commitMessageRequired","提交需要 commit message；请重新创建带 message 的提交确认","Commit requires a commit message. Create a confirmation with a message.","请填写提交说明，再确认提交。","Enter a commit message, then confirm the commit.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1282","languageCopy.zh-CN.codeMapWorkspace.sourceSummary","真实来源：源码扫描生成节点、边和布局。","Real source: nodes, edges, and layout are generated from source scans.","图谱来自项目源码，展示代码之间的关系。","The graph is built from project source code and shows relationships in the code.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1283","languageCopy.zh-CN.codeMapWorkspace.contextFactsAria","代码图谱真实事实","Code graph real facts","代码图谱信息","Code graph information","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1284","languageCopy.zh-CN.codeMapWorkspace.realSource","真实来源","Real source","来源","Source","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1289","languageCopy.zh-CN.codeMapWorkspace.realNodes","真实节点","Real nodes","节点","Nodes","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1290","languageCopy.zh-CN.codeMapWorkspace.realEdges","真实边","Real edges","关系","Relationships","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1291","languageCopy.zh-CN.codeMapWorkspace.primaryGridAria","图谱主舞台与检查器","Graph stage and inspector","代码图谱与详情","Code graph and details","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1292","languageCopy.zh-CN.codeMapWorkspace.stageAria","图谱主舞台","Graph stage","代码图谱","Code graph","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1293","languageCopy.zh-CN.codeMapWorkspace.inspectorAria","图谱检查器","Graph inspector","选中项详情","Selected item details","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1325","languageCopy.zh-CN.codeMapWorkspace.askGraphHelp","回答必须由真实 AI Runtime 基于图谱来源生成；来源不足时会明确说明不足以判断。","Answers must come from the real AI Runtime with graph sources. When sources are insufficient, Zeus says so.","AI 根据当前代码图谱回答问题；资料不足时会说明缺少什么。","The AI answers using the current code graph and explains when source material is insufficient.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1328","languageCopy.zh-CN.codeMapWorkspace.questionHelp","围绕当前真实图谱提问","Ask about the current real graph","针对当前代码图谱提问","Ask about the current code graph","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1337","languageCopy.zh-CN.codeMapWorkspace.missingSymbol","未绑定 symbol","No symbol bound","未关联代码符号","No linked code symbol","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1340","languageCopy.zh-CN.codeMapWorkspace.canvasEmpty","当前筛选没有真实节点；调整搜索条件后会展示由源码扫描生成的节点和边。","No real nodes match the current filters. Adjust search to show scanned source nodes and edges.","没有符合当前筛选条件的节点，请调整搜索或筛选。","No nodes match the current filters. Adjust the search or filters.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1353","languageCopy.zh-CN.codeMapWorkspace.graphNodeTaskCreateFailed","节点任务创建失败，请查看本地错误提示后重试。","Node task creation failed. Review the local error and try again.","未能从这个节点创建任务，请查看错误原因。","A task could not be created from this node. Check the error for the cause.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1357","languageCopy.zh-CN.codeMapWorkspace.runtimeSessionLabel","Runtime 会话","Runtime session","运行会话","Run","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1358","languageCopy.zh-CN.codeMapWorkspace.insufficientRuntimeSession","来源不足，未启动 Runtime 会话","Insufficient sources, Runtime session not started","可用资料不足，暂时无法回答。","There is not enough source material to answer yet.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1363","languageCopy.zh-CN.codeMapWorkspace.searchHistoryHelp","只查真实问答记录","Real Q&A records only","搜索已有问答记录","Search existing questions and answers","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1367","languageCopy.zh-CN.codeMapWorkspace.realQaCount","${count} 条真实问答","${count} real Q&A","${count} 条问答","${count} questions and answers","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1369","languageCopy.zh-CN.codeMapWorkspace.noRealQaHistory","暂无真实问答历史","No real Q&A history","暂无问答记录","No questions and answers yet","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1370","languageCopy.zh-CN.codeMapWorkspace.noMatchingQaHistory","没有匹配的真实图谱问答；换个关键词或查看未筛选历史。","No matching real graph Q&A. Try another keyword or clear the filter.","没有匹配的问答记录，请调整关键词或清除筛选。","No matching questions or answers. Change the search or clear the filters.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1419","languageCopy.zh-CN.codeMapWorkspace.mermaidPreviewHelp","基于当前真实可见节点和边生成 Mermaid 文本；PlantUML 可切换导出给成熟 UML 工具链；不渲染假图，也不引入额外依赖。","Generate Mermaid text from the currently visible real nodes and edges. PlantUML can be switched on for mature UML toolchains. Zeus does not render fake diagrams or add dependencies.","导出当前可见的图谱。Mermaid 和 PlantUML 是可在其他工具中编辑的图表文本格式。","Export the visible graph as Mermaid or PlantUML, text formats that can be edited in other diagram tools.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1429","languageCopy.zh-CN.codeMapWorkspace.mermaidEmptyHelp","点击生成后只展示当前筛选后仍可见的真实节点与边。","Generate it to show only the real nodes and edges still visible after filters.","点击生成，预览当前筛选结果的图表源码。","Generate a preview of the diagram source for the current filtered graph.","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1436","languageCopy.zh-CN.codeMapWorkspace.realNodeCount","${count} 个真实节点","${count} real node${count === 1 ? '' : 's'}","${count} 个节点","${count} nodes","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1438","languageCopy.zh-CN.codeMapWorkspace.aggregatedNodeSummary","聚合 ${count} 个真实节点 · ${sourceCount} 个来源","Aggregated ${count} real nodes · ${sourceCount} source${sourceCount === 1 ? '' : 's'}","包含 ${count} 个节点 · ${sourceCount} 个来源","Contains ${count} nodes · ${sourceCount} sources","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1452","languageCopy.zh-CN.codeMapWorkspace.realEdgeCount","${count} 条真实边","${count} real edge${count === 1 ? '' : 's'}","${count} 条关系","${count} relationships","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1453","languageCopy.zh-CN.codeMapWorkspace.aggregatedEdgeSummary","聚合 ${count} 条真实边 · ${sourceCount} 个来源","Aggregated ${count} real edges · ${sourceCount} source${sourceCount === 1 ? '' : 's'}","包含 ${count} 条关系 · ${sourceCount} 个来源","Contains ${count} relationships · ${sourceCount} sources","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1460","languageCopy.zh-CN.codeMapWorkspace.oneHopNeighbors","一跳邻居","One-hop neighbors","直接关联项","Directly related items","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1461","languageCopy.zh-CN.codeMapWorkspace.twoHopImpact","二跳影响范围","Two-hop impact","间接关联范围","Indirectly related items","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1469","languageCopy.zh-CN.codeMapWorkspace.nodeActions.expandOneHop","展开一跳","Expand one hop","展开直接关联","Expand direct relationships","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","1470","languageCopy.zh-CN.codeMapWorkspace.nodeActions.expandTwoHop","展开二跳","Expand two hops","展开间接关联","Expand indirect relationships","最终文字仍在源码"
"apps/desktop/src/renderer/features/workspace/workspaceCopy.ts","2394","languageCopy.en-US.settingsWorkspace.categories.runtime","AI CLI / Runtime","","AI 连接","AI connections","最终文字仍在源码"
"apps/desktop/src/renderer/session/AnsweredRequestHistory.tsx","30","labels.zh-CN.answerSyncFailedDetail","该询问已在其他端结束，但 Codex 未把具体选择同步给 Zeus。","This question was completed on another client, but Codex did not sync the exact selection to Zeus.","这个问题已在其他设备上处理，Zeus 尚未收到具体回答。","This question was resolved on another device. Zeus has not received the answer.","最终文字仍在源码"
"apps/desktop/src/renderer/session/BrowserWorkspace.tsx","65","copy.zh-CN.unavailable","当前环境没有可用的内置浏览器桥接。","The built-in browser bridge is unavailable in this environment.","此处无法使用内置浏览器。","The built-in browser is unavailable here.","最终文字仍在源码"
"apps/desktop/src/renderer/session/BrowserWorkspace.tsx","68","copy.zh-CN.stageFailed","页面批注未能暂存到输入框，浏览器草稿仍已保留。","Browser comments were not staged. The page drafts are still saved.","无法将批注添加到输入框，你仍可在浏览器中查看和编辑这些批注。","The comments could not be added to the composer. You can still view and edit them in the browser.","最终文字仍在源码"
"apps/desktop/src/renderer/session/CollaborationModeControl.tsx","7","action","退出 PLAN 模式","Exit Plan mode","退出计划模式","Exit plan mode","最终文字仍在源码"
"apps/desktop/src/renderer/session/ContextUsageIndicator.tsx","171","estimatedHeadroomLabel","下一请求安全余量（估算）","Next-request safe headroom (estimate)","下次请求可用容量（估算）","Available capacity for the next request (estimated)","最终文字仍在源码"
"apps/desktop/src/renderer/session/ContextUsageIndicator.tsx","177","risk","估算已越过安全预算，将在派发前触发原生压缩。","The estimate exceeds the safe budget; native compaction runs before dispatch.","对话长度预计接近模型上限，发送前将先整理较早的内容。","The conversation is estimated to be near the model’s limit. Earlier content will be summarized before sending.","最终文字仍在源码"
"apps/desktop/src/renderer/session/ContextUsageIndicator.tsx","188","risk","下一请求估算已越过安全预算；派发前会先执行原生压缩。","The next-request estimate exceeds the safe budget; native compaction runs before dispatch.","下一条请求预计接近模型的长度上限，发送前将先整理较早的对话内容。","The next request is estimated to be near the model’s length limit. Earlier conversation content will be summarized before sending.","最终文字仍在源码"
"apps/desktop/src/renderer/session/ContextUsageIndicator.tsx","219","estimatedHeadroomLabel","下一请求安全余量（估算）","Next-request safe headroom (estimate)","下次请求可用容量（估算）","Available capacity for the next request (estimated)","最终文字仍在源码"
"apps/desktop/src/renderer/session/ConversationComposer.tsx","101","labels.zh-CN.recoveredInputBlocked","断线恢复的问题当前只读；可使用停止按钮终止本轮。","The recovered question is read-only. You can still stop this turn.","连接中断后恢复的问题暂时无法回答。你可以停止当前处理。","This question cannot be answered after the connection was interrupted. You can stop the current work.","最终文字仍在源码"
"apps/desktop/src/renderer/session/ConversationComposer.tsx","275","","同一草稿不能同时进入目标模式并点名数字员工。","A draft cannot combine goal mode with digital employee mentions.","目标模式暂不支持指定数字员工。请退出目标模式后再选择。","Goal mode does not support choosing a digital employee. Exit goal mode before selecting one.","最终文字仍在源码"
"apps/desktop/src/renderer/session/ConversationComposer.tsx","343","","同一草稿不能同时进入目标模式并点名数字员工。","A draft cannot combine goal mode with digital employee mentions.","目标模式暂不支持指定数字员工。请退出目标模式后再选择。","Goal mode does not support choosing a digital employee. Exit goal mode before selecting one.","最终文字仍在源码"
"apps/desktop/src/renderer/session/ConversationComposer.tsx","532","","同一草稿不能同时进入目标模式并点名数字员工。","A draft cannot combine goal mode with digital employee mentions.","目标模式暂不支持指定数字员工。请退出目标模式后再选择。","Goal mode does not support choosing a digital employee. Exit goal mode before selecting one.","最终文字仍在源码"
"apps/desktop/src/renderer/session/ConversationTranscript.tsx","1051","","发送第一条消息后，真实 app-server 对话会显示在这里。","Send the first message to begin the real app-server transcript.","发送消息，开始对话。","Send a message to start a conversation.","最终文字仍在源码"
"apps/desktop/src/renderer/session/ConversationTranscript.tsx","1445","","当前任务正在等待用户输入，但问题通道未能恢复；这不是仍在思考。","This turn is waiting for user input, but the question channel could not be recovered. It is not still thinking.","AI 正在等待你的回答，但 Zeus 暂时无法显示可回答的问题。","The AI is waiting for your answer, but Zeus cannot currently display a question you can respond to.","最终文字仍在源码"
"apps/desktop/src/renderer/session/ConversationTranscript.tsx","1478","","回答已保存，正在恢复原会话…","Your answer was saved. Restoring the original conversation…","正在恢复对话并继续处理你的回答…","Restoring the conversation to continue with your answer…","最终文字仍在源码"
"apps/desktop/src/renderer/session/GoalPanel.tsx","36","eventLabels.paused.zh","暂停自动续跑","Auto-continuation paused","暂停后续自动执行","Pause further automatic work","最终文字仍在源码"
"apps/desktop/src/renderer/session/GoalPanel.tsx","37","eventLabels.resumed.zh","恢复自动续跑","Auto-continuation resumed","恢复自动执行","Resume automatic work","最终文字仍在源码"
"apps/desktop/src/renderer/session/GoalPanel.tsx","77","","写清要达成什么、不能改什么、如何验证，以及何时停止。目标独立于普通或 PLAN 协作模式。","Describe the outcome, boundaries, validation, and stopping condition. Goals are independent of collaboration mode.","写清要达成什么、不能改什么、如何验证，以及何时停止。","Describe the goal, what must stay unchanged, how to verify it, and when to stop.","最终文字仍在源码"
"apps/desktop/src/renderer/session/GoalPanel.tsx","102","","清除后将停止后续自动续跑","Clearing stops future auto-continuation","清除后将不再自动继续执行此目标","Clearing the goal stops further automatic work toward it","最终文字仍在源码"
"apps/desktop/src/renderer/session/LegacyConversationBanner.tsx","13","body","该记录来自旧 CLI。前往设置导入后，Codex 会生成可直接续接的原生会话。","This record came from the legacy CLI. Import it in Settings to create a native Codex conversation that can be resumed directly.","这是旧版工具的会话记录。请前往设置导入，以便继续对话。","This conversation comes from an older tool. Import it in Settings to continue the conversation.","最终文字仍在源码"
"apps/desktop/src/renderer/session/McpAppFrame.tsx","83","","交互式 MCP App","Interactive MCP App","插件交互页面","Interactive plugin page","最终文字仍在源码"
"apps/desktop/src/renderer/session/McpAppFrame.tsx","90","","已连接受控桥","Controlled bridge ready","已连接 Zeus","Connected to Zeus","最终文字仍在源码"
"apps/desktop/src/renderer/session/McpAppFrame.tsx","94","","已拒绝越权请求","Blocked request","已阻止未经授权的操作","Unauthorized action blocked","最终文字仍在源码"
"apps/desktop/src/renderer/session/NewConversationExecutionContext.tsx","54","branchOptions.unavailableReason","已在其他工作区检出","Checked out in another worktree","已在其他工作目录使用","In use in another working folder","最终文字仍在源码"
"apps/desktop/src/renderer/session/NewConversationExecutionContext.tsx","135","","新会话执行上下文","New conversation execution context","新对话的项目与分支","Project and branch for the new conversation","最终文字仍在源码"
"apps/desktop/src/renderer/session/PendingRequestSurface.tsx","68","labels.zh-CN.otherPlaceholder","否，并告诉 Zeus 应该如何做得不同","No, tell Zeus what to do differently","提出其他做法","Suggest another approach","最终文字仍在源码"
"apps/desktop/src/renderer/session/PendingRequestSurface.tsx","70","labels.zh-CN.secret","敏感回答仅发送给当前本机 app-server，不会显示在会话记录中。","Secret answers are sent only to the current local app-server and are not shown in the transcript.","敏感回答用于本次请求，不显示在对话记录中。","Sensitive answers are used for this request and are not shown in the conversation history.","最终文字仍在源码"
"apps/desktop/src/renderer/session/PendingRequestSurface.tsx","75","labels.zh-CN.invalidMcpHelp","请求 schema、URL 或响应 JSON 无法安全验证；修复前只提供拒绝或取消。","The request schema, URL, or response JSON cannot be validated safely. Only decline or cancel remains available.","Zeus 无法验证这个请求的内容或链接是否有效，因此暂时不能允许，只能拒绝或取消。","Zeus cannot validate this request’s content or link. Approval is unavailable; you can decline or cancel.","最终文字仍在源码"
"apps/desktop/src/renderer/session/PendingRequestSurface.tsx","85","labels.zh-CN.fileTargetProviderScope","授权范围无法审计","Approval scope cannot be audited","无法确认申请访问的范围","Cannot verify the requested access","最终文字仍在源码"
"apps/desktop/src/renderer/session/PendingRequestSurface.tsx","86","labels.zh-CN.fileTargetProviderScopeHelp","该请求要求授权 Provider 根范围，超出单个项目的文件审批边界，因此只提供拒绝或取消操作。","This request asks for a provider-root grant beyond the single-project approval boundary. Only decline or cancel actions are available.","这个请求申请访问整个 AI 工具的工作范围，超出了当前项目的文件权限，因此不能允许。","This request asks for access across the AI tool’s working area, beyond this project’s file permissions. It cannot be approved.","最终文字仍在源码"
"apps/desktop/src/renderer/session/PendingRequestSurface.tsx","99","labels.zh-CN.allEditScope","本会话后续仅自动允许当前项目内可审计的文件；项目外目标仍会被拒绝。","This session only auto-allows auditable files inside the current project; outside targets remain blocked.","本次对话中，后续只会自动允许已确认属于当前项目的文件访问；项目外文件仍会被拒绝。","During this conversation, only verified file access within the current project will be allowed automatically. Access outside the project will still be denied.","最终文字仍在源码"
"apps/desktop/src/renderer/session/PendingRequestSurface.tsx","1026","","敏感回答仅发送给本机 app-server，不写入会话或草稿。","Secret answers are sent locally and are never stored in the transcript or draft.","敏感回答只用于本次请求，不保存到对话记录或草稿中。","Sensitive answers are used only for this request and are not saved in the conversation history or drafts.","最终文字仍在源码"
"apps/desktop/src/renderer/session/PendingRequestSurface.tsx","1443","","该权限结构尚未受支持，Zeus 不会发送允许响应。","","Zeus 暂不支持这种权限请求，因此不能允许。","Zeus does not support this type of permission request, so it cannot be approved.","最终文字仍在源码"
"apps/desktop/src/renderer/session/PendingRequestSurface.tsx","1444","","向 MCP server 发送所示 JSON 响应。","","向插件服务发送下方所示的 JSON 格式回答。","Send the JSON response shown below to the plugin service.","最终文字仍在源码"
"apps/desktop/src/renderer/session/PlanImplementationRequestSurface.tsx","70","","告诉 Codex 应该如何做得不同","Tell Codex what to do differently","说明希望如何修改计划","Describe how you would like to change the plan","最终文字仍在源码"
"apps/desktop/src/renderer/session/ProjectConversationTree.tsx","73","labels.zh-CN.paused","队列已暂停","Queue paused","处理已暂停","Processing paused","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionCodeReviewDialog.tsx","162","","当前现场无法启动代码审查。","Code review cannot be started from the current context.","当前代码目录不满足审查条件。","The current code folder does not meet the review requirements.","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionCodeReviewDialog.tsx","202","","创建独立 AI 会话，并复用当前执行环境","Create an independent AI conversation in the current execution environment","新建对话，审查当前工作目录中的代码","Start a new conversation to review code in the current working folder","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionCodeReviewDialog.tsx","222","","来源基线至当前现场的全部变化","All changes from the source baseline to the current workspace","从任务开始到现在的全部修改","All changes since the task started","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionCodeReviewDialog.tsx","256","","代码审查使用的 Skill","Skill for code review","审查技能（Skill）","Review skill","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionCodeReviewDialog.tsx","308","","准备期间不会创建半成品会话。","No partial conversation is created while preparing.","准备完成后会打开审查对话。","The review conversation opens when preparation is complete.","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionQuickActionsCard.tsx","460","","目录与分支来自最近一次会话快照。","Directory and branch come from the latest conversation snapshot.","显示最近一次读取的目录与分支。","Shows the most recently loaded folder and branch.","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionQuickActionsCard.tsx","591","","项目对话没有可用于代码审查的任务 Worktree","Project conversations do not have a task worktree for code review","请从拥有独立工作目录的任务对话中启动代码审查","Start a code review from a task conversation with its own working folder","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionQuickActionsCard.tsx","593","","直接目录会话没有冻结审查基线，请从 Worktree 任务会话启动","Direct-directory conversations have no frozen review baseline; start from a task worktree conversation","此对话没有任务开始时的代码记录。请从拥有独立工作目录的任务对话启动审查","This conversation has no record of the code when the task started. Start the review from a task conversation with its own working folder","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionQuickActionsCard.tsx","595","","正在确认代码审查 Worktree…","Checking the code review worktree…","正在检查代码审查的工作目录…","Checking the working folder for the code review…","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionQuickActionsCard.tsx","596","","当前会话的精确任务 Worktree 不可用","The exact task worktree for this conversation is unavailable","此任务的工作目录不可用","This task’s working folder is unavailable","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionWorkspace.tsx","1433","labels.zh-CN.failureHelp","连接中断。请重新连接以读取最新快照。","The connection was interrupted. Reconnect to load the latest snapshot.","连接已中断。重新连接后才能读取最新对话。","The connection was interrupted. Reconnect to load the latest conversation.","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionWorkspace.tsx","1462","labels.zh-CN.runtimeDetails","运行时详情","Runtime details","运行详情","Run details","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionWorkspace.tsx","1929","[requestId]","请先明确允许、拒绝或提交回答；Escape 不会停止被请求阻塞的轮次。","Choose allow, decline, or submit an answer. Escape will not interrupt a request-blocked turn.","请先允许、拒绝或回答当前问题。按 Escape 不会停止正在等待回答的处理。","Approve, decline, or answer the current request first. Escape does not stop work that is waiting for a response.","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionWorkspace.tsx","2344","","立即停止 Computer Use","Stop Computer Use now","立即停止电脑操作","Stop computer actions now","最终文字仍在源码"
"apps/desktop/src/renderer/session/SessionWorkspace.tsx","2410","message","当前会话没有可用于代码审查的任务 Worktree。","This conversation does not have a task worktree available for code review.","此对话没有可用于代码审查的任务工作目录。","This conversation has no task working folder available for code review.","最终文字仍在源码"
