"文件","入口","数量","保留理由","候选逐项原文"
"packages/local-server/src/codexDynamicToolApplication.ts","resolveResponse.text","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":216,""text"":""Zeus dynamic tool failed: ${detail.slice(0, 1200)}""}]"
"packages/local-server/src/codexExternalRequestAnswerRecovery.ts","createCodexExternalRequestAnswerRecovery.recover.recovery.providerThreadId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":53,""text"":""provider thread id""}]"
"packages/local-server/src/codexFinalShutdownApplication.ts","finalizeCodexPendingInteractionsForShutdown.shutdownError.message","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":41,""text"":""Zeus 最终退出时终止了待处理 Codex 交互；Provider turn 的真实终态尚未确认。""}]"
"packages/local-server/src/codexGoalApplication.ts","ensureInitialCodexGoal.recoverAccepted","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":53,""text"":""Codex 已接纳目标命令，但只读对账未找到目标。""}]"
"packages/local-server/src/codexGoalApplication.ts","createCodexGoalApplication.setGoal","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":85,""text"":""目标必须为 1 到 4000 个字符。""}]"
"packages/local-server/src/codexInteractionRecoveryApplication.ts","createCodexInteractionRecoveryApplication.reconcileProviderThreadRuntimeStatus","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":216,""text"":""Codex returned a different thread while reconciling runtime status.""}]"
"packages/local-server/src/codexInteractionRecoveryApplication.ts","createCodexInteractionRecoveryApplication.reconcileProviderThreadRuntimeStatus","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":221,""text"":""Provider thread status has no authoritative runtime generation.""}]"
"packages/local-server/src/codexInteractionRecoveryApplication.ts","createCodexInteractionRecoveryApplication.markInteractionAuthorityMissing.error.message","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":246,""text"":""Provider 正在等待用户输入，但问题通道未能恢复。请停止当前任务后重新发送。""}]"
"packages/local-server/src/codexInteractionRecoveryApplication.ts","createCodexInteractionRecoveryApplication.markInteractionAuthorityMissing.providerThreadId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":262,""text"":""provider thread id""}]"
"packages/local-server/src/codexInteractionRecoveryApplication.ts","createCodexInteractionRecoveryApplication.restoreInteractionAuthority.providerThreadId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":283,""text"":""provider thread id""}]"
"packages/local-server/src/codexInteractionRecoveryApplication.ts","createCodexInteractionRecoveryApplication.restoreInteractionAuthority.turnId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":287,""text"":""provider turn id""}]"
"packages/local-server/src/codexInteractionRecoveryApplication.ts","createCodexInteractionRecoveryApplication.restoreProviderActivityAfterMissingInteraction.providerThreadId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":306,""text"":""provider thread id""}]"
"packages/local-server/src/codexInteractionRecoveryApplication.ts","createCodexInteractionRecoveryApplication.timeoutTurnResult.error","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":361,""text"":""Codex native turn did not complete before the timeout.""}]"
"packages/local-server/src/codexLegacyImportService.ts","createCodexLegacyImportService","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":47,""text"":""Codex legacy import root must be absolute.""}]"
"packages/local-server/src/codexLegacyImportService.ts","createCodexLegacyImportService.detect.candidates","1","模板或 SQL，非界面提示","[{""line"":65,""text"":""SELECT conversations.id, projects.local_path\n       FROM conversations JOIN projects ON projects.id = conversations.project_id\n       WHERE conversations.archived = 0 AND conversations.transport_kind = 'legacy_cli'\n         AND conversations.provider_thread_id IS NULL\n       ORDER BY conversations.created_at, conversations.id""}]"
"packages/local-server/src/codexLegacyImportService.ts","createCodexLegacyImportService.start","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":90,""text"":""Codex legacy import requires unique source conversation ids.""}]"
"packages/local-server/src/codexLegacyImportService.ts","createCodexLegacyImportService.start","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":99,""text"":""Selected legacy conversations are not eligible for import.""}]"
"packages/local-server/src/codexLegacyImportService.ts","createCodexLegacyImportService.start","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":102,""text"":""Every selected legacy conversation must be eligible for import.""}]"
"packages/local-server/src/codexLegacyImportService.ts","createCodexLegacyImportService.start","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":109,""text"":""Selected legacy conversation no longer exists.""}]"
"packages/local-server/src/codexLegacyImportService.ts","createCodexLegacyImportService.start","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":126,""text"":""Selected legacy imports are not in one recoverable state.""}]"
"packages/local-server/src/codexLegacyImportService.ts","createCodexLegacyImportService.start.migrationItems.description","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":134,""text"":""${sessions.length} Zeus legacy session${sessions.length === 1 ? '' : 's'}""}]"
"packages/local-server/src/codexLegacyImportService.ts","createCodexLegacyImportService.applyImportResults.message","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":182,""text"":""Provider did not return an imported thread id.""}]"
"packages/local-server/src/codexLegacyImportService.ts","createCodexLegacyImportService.applyImportResults","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":187,""text"":""Provider returned a different thread identity.""}]"
"packages/local-server/src/codexLegacyImportService.ts","createCodexLegacyImportService.applyImportResults.message","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":189,""text"":""Provider thread could not be read after import.""}]"
"packages/local-server/src/codexLegacyImportService.ts","createCodexLegacyImportService.applyImportResults.message","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":195,""text"":""Imported thread could not be bound to the local conversation.""}]"
"packages/local-server/src/codexLegacyImportService.ts","createCodexLegacyImportService.buildResult","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":206,""text"":""Codex legacy import not found: ${importId}""}]"
"packages/local-server/src/codexLegacyImportService.ts","createCodexLegacyImportService.assertOpen","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":212,""text"":""Codex legacy import service is closed.""}]"
"packages/local-server/src/codexNativeContextProtocol.ts","readCodexAdditionalContext","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":11,""text"":""持久化的 Codex additionalContext 不符合 app-server v2 线协议。""}]"
"packages/local-server/src/codexNativeContextProtocol.ts","mergeCodexAdditionalContext","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":24,""text"":""Codex additionalContext 键名冲突：${key}""}]"
"packages/local-server/src/codexNativeContextProtocol.ts","assertCallerDoesNotOverrideCompiledContext","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":37,""text"":""调用方不得覆盖 Context Compiler 保留键：${conflicting}""}]"
"packages/local-server/src/codexNativeConversationAccess.ts","createCodexNativeConversationAccess.requireProductConversation","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":8,""text"":""Native product conversation was not found.""}]"
"packages/local-server/src/codexNativeConversationAccess.ts","createCodexNativeConversationAccess.requireConversation","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":15,""text"":""Codex native conversation was not found.""}]"
"packages/local-server/src/codexNativeConversationAccess.ts","createCodexNativeConversationAccess.requireOwnedSubmission","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":21,""text"":""Native submission was not found.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.assertOpen","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":231,""text"":""Codex native conversation coordinator is closed.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.assertOpen","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":232,""text"":""Codex native conversation writes are disabled by ZEUS_CODEX_NATIVE_ENABLED.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionText","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":404,""text"":""Persisted submission text is invalid.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionGoalObjective","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":412,""text"":""目标必须为 1 到 4000 个字符。""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionAttachments","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":420,""text"":""Durable native attachment input is invalid.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionAttachments","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":432,""text"":""Durable native attachment metadata is invalid.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionAttachments","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":436,""text"":""Durable native attachment identity is invalid.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionAttachments","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":438,""text"":""Durable native attachment path authority is invalid.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionBrowserComments","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":456,""text"":""Durable browser comment metadata is invalid.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionConversationContext","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":465,""text"":""Durable conversation context metadata is invalid.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionProviderInput","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":477,""text"":""No trusted attachment root can be resolved.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionProviderInput.providerAttachment","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":481,""text"":""Native attachment uploadRef has no provider resolver.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionProviderInput.providerAttachment","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":484,""text"":""Native attachment localPath must be absolute.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionProviderInput.providerAttachment","1","原始诊断或工具协议；产品错误由共享原因解释展示","[{""line"":492,""text"":""outside trusted roots or not a file/directory""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionProviderInput.providerAttachment","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":496,""text"":""Native attachment must resolve to an authorized file or directory.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionProviderInput","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":518,""text"":""Task push attachment placement is missing: ${part.attachmentKey}""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submissionProviderInput","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":525,""text"":""Native submission requires text or attachments.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.createSubmission","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":639,""text"":""Reserved submission id is already owned by another conversation operation.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.createSubmission","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":642,""text"":""Reserved submission content is immutable and does not match this operation.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.startTaskConversation","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":762,""text"":""Reserved native conversation id is already owned by another resource.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.startTaskConversation.conversation.title","1","事件或创建内容：按事件类型翻译展示，用户标题与保存记录保留","[{""line"":772,""text"":""任务会话：${input.taskTitle.slice(0, 48)}""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.startProjectConversation","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":824,""text"":""Reserved project conversation id is already owned by another resource.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.assertCodexAccountReady","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":864,""text"":""Zeus 专属 Codex 尚未登录。请先完成登录，再创建会话。""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.requireGoalConversation","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":911,""text"":""创建目标前必须先建立原生会话。""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.requireGoalConversation","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":914,""text"":""当前 Agent 或 app-server 不支持原生目标。""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.startEphemeralConversation","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":968,""text"":""Codex native Graph question did not start immediately.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.startEphemeralConversation","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":971,""text"":""Codex native Graph provider dispatch failed.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.waitForTurnResult","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":986,""text"":""Native turn result timeout must be a positive number.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.resolveLegacyReference","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1015,""text"":""Selected legacy conversation was not found.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.resolveLegacyReference","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1017,""text"":""Legacy message ids must be explicit and unique.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.resolveLegacyReference.messages","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1020,""text"":""Legacy message does not belong to selected conversation: ${messageId}""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.submitMessage","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1031,""text"":""恢复后有多条尚未发送的消息，请先逐条重试或取消。""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.dispatchQueuedMessage","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1123,""text"":""Only a queued native submission can be dispatched.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.dispatchQueuedMessage","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1126,""text"":""Queued submission does not have a frozen execution snapshot.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.steerMessage","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1191,""text"":""The request answer attachment delivery result is uncertain and will not be repeated automatically.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.steerMessage.providerThreadId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1206,""text"":""provider thread id""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.recoverPausedConversation","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1316,""text"":""The paused conversation has no provider thread that can be safely resumed.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.recoverPausedConversation.providerThreadId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1322,""text"":""provider thread id""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.markEphemeralConversationClosed.summary","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1410,""text"":""Codex native ephemeral conversation failed.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.markEphemeralConversationClosed.summary","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1410,""text"":""Codex native ephemeral conversation closed.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.reconcileTerminalTurnSubmissions.providerTurnId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1574,""text"":""provider turn id""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.reconcileTerminalTurnSubmissions","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1586,""text"":""The provider turn ended without exact evidence that this user message was received.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.sendQueuedNow","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1686,""text"":""Plan control submissions cannot steer an active turn.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.sendQueuedNow","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1689,""text"":""send-now requires a current active Codex native turn.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.sendQueuedNow","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1690,""text"":""Submission is not queued.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.sendQueuedNow","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1693,""text"":""只能立即发送当前队首，不能绕过更早的提交。""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.sendQueuedNow.providerThreadId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1696,""text"":""provider thread id""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.interruptTurn","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1777,""text"":""No active Codex native turn to interrupt.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.interruptTurn","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1780,""text"":""Interrupt target is not the current active provider turn.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.interruptTurn.providerThreadId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1781,""text"":""provider thread id""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.interruptTurn","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1806,""text"":""Codex did not confirm a terminal outcome for the interrupted turn.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.resumeInterruptedQueue","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1823,""text"":""Queue is not paused by an interrupted turn.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.recoverQueue","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1837,""text"":""The provider conversation must be restored explicitly before its queue can be recovered.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.recoverQueue","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1848,""text"":""A user message has an unconfirmed delivery result and cannot be resent automatically.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.recoverQueue","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1880,""text"":""Recovered provider thread is not at a safe dispatch boundary.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.archiveConversation.providerThreadId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1898,""text"":""provider thread id""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.assertConversationCanBeArchived","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1961,""text"":""The conversation still has unfinished work and cannot be archived.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.assertConversationCanBeArchived.cause.message","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":1970,""text"":""Archive blocked by current conversation state.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.restoreArchivedProviderThread.providerThreadId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2003,""text"":""provider thread id""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.restoreArchivedProviderThread","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2038,""text"":""Codex returned a different thread while restoring the archived conversation.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.restoreArchivedProviderThread","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2046,""text"":""Codex returned a different thread snapshot while restoring the archived conversation.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.restoreArchivedProviderThread","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2058,""text"":""transport generation id""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2082,""text"":""Codex server request is not pending.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2083,""text"":""Codex server request is not pending.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2096,""text"":""Response type does not match the pending command approval.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2099,""text"":""The provider did not advertise the requested execpolicy amendment.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2105,""text"":""The provider did not advertise the requested command approval decision.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2110,""text"":""Response type does not match the pending file approval.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2112,""text"":""File approvals cannot grant provider-requested root scope.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2114,""text"":""The pending file approval does not identify an auditable project-local target.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2119,""text"":""Codex permission request or grant schema is unsupported.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2121,""text"":""Codex permission response type is unsupported.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2130,""text"":""MCP elicitation response does not satisfy the pending request mode and schema.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2134,""text"":""Response type does not match the pending request_user_input request.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2139,""text"":""Only request_user_input responses can include answer attachments.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest.providerTurnId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2171,""text"":""server request provider turn id""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondToRequest.providerThreadId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2172,""text"":""server request provider thread id""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.validateRequestAnswerAttachments","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2242,""text"":""Sensitive request_user_input questions cannot include attachments.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.validateRequestAnswerAttachments","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2249,""text"":""Answer attachment question ids must be explicit and unique.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.validateRequestAnswerAttachments","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2251,""text"":""Answer attachments do not belong to canonical question ${group.questionId}.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.validateRequestAnswerAttachments","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2252,""text"":""Sensitive question ${group.questionId} cannot include attachments.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.validateRequestAnswerAttachments","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2253,""text"":""Answer attachment group ${group.questionId} must not be empty.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.validateRequestAnswerAttachments","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2257,""text"":""A request_user_input response cannot include more than 100 attachments.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.deliverRequestAnswerAttachments","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2265,""text"":""The current waiting turn is unavailable for request answer attachments.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.deliverRequestAnswerAttachments.acceptance.content","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2271,""text"":""以下附件属于当前 request_user_input 的对应问题，请与随后提交的文字答案共同理解：\\n${mapping}""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.deliverRequestAnswerAttachments.acceptance.displayText","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2272,""text"":""已提交询问回答附件""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.deliverRequestAnswerAttachments","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2284,""text"":""Request answer attachments were not accepted by the current turn.""}]"
"packages/local-server/src/codexNativeConversationCoordinator.ts","createCodexNativeConversationCoordinator.respondAfterInteractionRecovery.providerThreadId","1","服务诊断、模型协议或非界面资料，保留原始内容","[{""line"":2330,""text"":""provider thread id""}]"
