"原始错误码或精确诊断","原始来源与原文","中文解释","英文解释","解决方向","真实原因判定","按钮约束"
"ZEUS_TASK_BRANCH_ALREADY_MANAGED","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":412,""value"":""Task branch is already managed in ${registeredRepository.relativePath}: ${branchName}""}]","此分支已在其他独立工作目录中使用。请选择已有工作目录或其他分支。","This branch is already used by another separate working folder. Select the existing folder or another branch.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_LOCAL_BRANCH_CHECKED_OUT","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":394,""value"":""The local task branch is already checked out in another worktree: ${requestedBranchName}""}]","此分支已在其他独立工作目录中使用。请选择已有工作目录或其他分支。","This branch is already used by another separate working folder. Select the existing folder or another branch.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_BRANCH_NOT_FOUND","[{""file"":""packages/git-core/src/index.ts"",""line"":542,""value"":""Existing task branch is not available locally or on its recorded remote: ${branchName}""}]","找不到所选分支或提交。请刷新列表并选择仍然存在的条目。","The selected branch or commit could not be found. Refresh the list and select an available entry.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_BRANCH_NOT_FOUND","[{""file"":""packages/git-core/src/index.ts"",""line"":1574,""value"":""Local branch does not exist: ${branch}""},{""file"":""packages/git-core/src/index.ts"",""line"":1587,""value"":""Remote branch does not exist in the refreshed snapshot: ${normalized}""}]","找不到所选分支或提交。请刷新列表并选择仍然存在的条目。","The selected branch or commit could not be found. Refresh the list and select an available entry.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_REF_NOT_FOUND","[{""file"":""packages/git-core/src/index.ts"",""line"":1567,""value"":""Git ref does not resolve to a commit: ${normalized}""}]","找不到所选分支或提交。请刷新列表并选择仍然存在的条目。","The selected branch or commit could not be found. Refresh the list and select an available entry.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_LOCAL_CHANGE_CONFLICT","[{""file"":""packages/git-core/src/index.ts"",""line"":613,""value"":""Local untracked file conflicts with the selected source branch: ${relativePath}""}]","本地未跟踪文件与所选分支中的文件冲突。请先备份并移开这些文件。","Local untracked files conflict with files in the selected branch. Back them up and move them before continuing.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORKSPACE_DETACHED","[{""file"":""packages/git-core/src/index.ts"",""line"":802,""value"":""Conflict workspace must stay on a named branch.""},{""file"":""packages/git-core/src/index.ts"",""line"":865,""value"":""Task workspace is detached and cannot be committed.""},{""file"":""packages/git-core/src/index.ts"",""line"":907,""value"":""Task workspace is detached and cannot be pushed.""}]","当前代码没有位于命名分支上。请先创建或切换到本地分支。","The current code is not on a named branch. Create or switch to a local branch first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_NAMED_BRANCH_REQUIRED","[{""file"":""packages/git-core/src/index.ts"",""line"":2120,""value"":""This action requires a current named branch. Create or check out a local branch first.""}]","当前代码没有位于命名分支上。请先创建或切换到本地分支。","The current code is not on a named branch. Create or switch to a local branch first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORKSPACE_DIRTY","[{""file"":""packages/git-core/src/index.ts"",""line"":804,""value"":""Commit or discard every conflict workspace change before refreshing its branches.""},{""file"":""packages/git-core/src/index.ts"",""line"":967,""value"":""Task worktree still contains uncommitted changes.""},{""file"":""packages/git-core/src/index.ts"",""line"":986,""value"":""Task worktree still contains uncommitted changes.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1368,""value"":""Commit or discard every task workspace change before merging.""}]","工作目录还有未提交修改，暂时不能继续。请先提交修改；不需要的修改可以在确认后放弃。","The working folder has uncommitted changes. Commit them before continuing, or discard unwanted changes after reviewing them.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_GIT_REMOTE_UNAVAILABLE","[{""file"":""packages/git-core/src/index.ts"",""line"":835,""value"":""Git remote is not configured: ${remote}""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1179,""value"":""This repository has no Git remote. Configure a remote before pushing.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1611,""value"":""This repository has no Git remote. Configure a remote before pushing.""}]","代码仓库尚未配置远端地址，无法执行远端操作。请先配置 Git 远端。","The repository has no remote configured. Configure a Git remote before performing remote operations.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_REMOTE_REQUIRED","[{""file"":""packages/git-core/src/index.ts"",""line"":2194,""value"":""A configured repository remote is required.""}]","代码仓库尚未配置远端地址，无法执行远端操作。请先配置 Git 远端。","The repository has no remote configured. Configure a Git remote before performing remote operations.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORKSPACE_CONFLICTED","[{""file"":""packages/git-core/src/index.ts"",""line"":866,""value"":""Resolve all conflicts before committing.""},{""file"":""packages/git-core/src/index.ts"",""line"":908,""value"":""Resolve all conflicts before pushing.""},{""file"":""packages/git-core/src/index.ts"",""line"":1219,""value"":""Resolve every conflict before completing the integration commit.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1367,""value"":""Resolve task workspace conflicts before merging.""}]","代码仍有冲突，请先处理并确认所有冲突文件。","The code still has conflicts. Resolve and confirm all conflicting files first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_CONFLICT_IN_PROGRESS","[{""file"":""packages/git-core/src/index.ts"",""line"":2046,""value"":""Resolve the current Git conflicts before starting another smart operation.""}]","代码仍有冲突，请先处理并确认所有冲突文件。","The code still has conflicts. Resolve and confirm all conflicting files first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_GIT_PATH_INVALID","[{""file"":""packages/git-core/src/index.ts"",""line"":870,""value"":""Shared paths and nested repositories cannot be committed from their parent workspace.""}]","共享目录和嵌套仓库中的文件不能随上层仓库提交。请到所属仓库中提交。","Files in shared folders or nested repositories cannot be committed with the parent repository. Commit them in their own repository.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_MERGE_COMMIT_INCOMPLETE","[{""file"":""packages/git-core/src/index.ts"",""line"":879,""value"":""Merge commits must include every changed path: ${omitted.join(', ')}""}]","合并提交必须包含本次合并的全部修改，请选择所有相关文件。","A merge commit must include all changes from the merge. Select all relevant files.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_REMOTE_DIVERGED","[{""file"":""packages/git-core/src/index.ts"",""line"":936,""value"":""Remote branch ${remoteName}/${remoteBranch} contains commits that are not in local HEAD.""},{""file"":""packages/git-core/src/index.ts"",""line"":946,""value"":""Remote branch ${remoteName}/${remoteBranch} advanced before the push completed.""}]","远端分支包含本地尚未取得的提交，推送已停止。请先拉取并处理分支差异。","The remote branch has commits missing locally, so the push stopped. Pull and reconcile the branches first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_REMOTE_VERIFICATION_FAILED","[{""file"":""packages/git-core/src/index.ts"",""line"":952,""value"":""Remote ${remoteName}/${remoteBranch} does not match local HEAD after push.""},{""file"":""packages/git-core/src/index.ts"",""line"":971,""value"":""Remote branch does not exactly match the task worktree HEAD.""}]","推送后远端分支与预期内容不一致，暂时不能确认推送成功。请检查远端分支。","The remote branch does not match the expected content after pushing. The push cannot be confirmed as successful. Check the remote branch.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORKTREE_NOT_REGISTERED","[{""file"":""packages/git-core/src/index.ts"",""line"":975,""value"":""Task worktree is not registered in the project repository.""},{""file"":""packages/git-core/src/index.ts"",""line"":989,""value"":""Task worktree is not registered in the project repository.""},{""file"":""packages/git-core/src/index.ts"",""line"":1011,""value"":""Task worktree path exists but is not registered in the project repository.""}]","Git 中找不到这个任务的独立工作目录记录，请检查任务分支和目录状态。","Git has no record of this task’s separate working folder. Check the task branch and folder state.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_DISCARD_CONFIRMATION_INVALID","[{""file"":""packages/git-core/src/index.ts"",""line"":1029,""value"":""Type the exact task branch name to discard it.""}]","输入的分支名与要放弃的分支不一致，操作未执行。请输入完整分支名确认。","The entered branch name does not match the branch to discard. Nothing was discarded. Enter the complete branch name to confirm.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_CONFLICT_BRANCH_MISMATCH","[{""file"":""packages/git-core/src/index.ts"",""line"":1132,""value"":""The conflict worktree is not attached to its recorded conflict branch.""}]","冲突处理目录已切换到其他分支。请恢复对应分支后再继续。","The conflict-resolution folder has switched to another branch. Restore the expected branch before continuing.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_CONFLICT_NOT_FOUND","[{""file"":""packages/git-core/src/index.ts"",""line"":1183,""value"":""Conflict file is no longer unresolved: ${safePath}""}]","所选冲突已不需要处理。请刷新冲突列表查看最新状态。","The selected conflict no longer needs resolution. Refresh the conflict list for its current state.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_INTEGRATION_NOT_CONFLICTED","[{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":2763,""value"":""当前合入没有这项待 AI 处理的冲突。""}]","所选冲突已不需要处理。请刷新冲突列表查看最新状态。","The selected conflict no longer needs resolution. Refresh the conflict list for its current state.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_CONFLICT_BINARY_UNSUPPORTED","[{""file"":""packages/git-core/src/index.ts"",""line"":1197,""value"":""Binary conflict resolution is not supported in the text editor.""},{""file"":""packages/git-core/src/index.ts"",""line"":1209,""value"":""Binary conflict resolution is not supported in the text editor.""},{""file"":""packages/git-core/src/index.ts"",""line"":1855,""value"":""Binary conflict resolution is not supported in the text editor.""}]","这个冲突涉及图片等二进制文件，无法用文本编辑器处理。请使用外部工具。","This conflict involves a binary file, such as an image, and cannot be resolved in the text editor. Use an external tool.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_CONFLICT_TOO_LARGE","[{""file"":""packages/git-core/src/index.ts"",""line"":1856,""value"":""Conflict file is too large for the built-in editor.""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":2759,""value"":""当前冲突草稿过大，无法交给 AI 处理。""}]","冲突文件超过内置编辑器的大小限制，请使用外部编辑器处理。","The conflicting file exceeds the built-in editor’s size limit. Resolve it in an external editor.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_PRECOMMIT_FORMAT_UNAVAILABLE","[{""file"":""packages/git-core/src/index.ts"",""line"":1675,""value"":""项目配置了 Prettier，但仓库尚未安装本地 Prettier。请先安装项目依赖再提交。""},{""file"":""packages/git-core/src/index.ts"",""line"":1677,""value"":""项目配置了 Prettier，但本地 Prettier 入口无法解析。请先安装项目依赖再提交。""}]","项目要求提交前格式化代码，但尚未安装所需的 Prettier。请先安装项目依赖。","This project requires code formatting before commit, but Prettier is not installed. Install the project dependencies first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_PRECOMMIT_FORMAT_FAILED","[{""file"":""packages/git-core/src/index.ts"",""line"":1709,""value"":""提交前 Prettier 格式化失败：${commandFailureDetail(error)}""}]","提交前的代码格式化失败，因此没有继续提交。请查看详情并修正格式化错误。","Code formatting failed before the commit, so the commit did not continue. Check the details and fix the formatting error.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_UPSTREAM_REQUIRED","[{""file"":""packages/git-core/src/index.ts"",""line"":2029,""value"":""Current branch ${context.branch} does not track a remote branch.""}]","当前分支尚未关联远端分支。请先设置它要跟踪的远端分支。","This branch is not linked to a remote branch. Set its upstream branch first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_CONFIRMATION_EXPIRED","[{""file"":""packages/local-server/src/gitCommandRoutes.ts"",""line"":276,""value"":""Git confirmation has expired""}]","这次 Git 操作的确认已失效或已使用。请重新打开操作预览，核对内容后确认。","The confirmation for this Git action expired or was already used. Reopen the action preview and review it before confirming.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_CONFIRMATION_NOT_FOUND","[{""file"":""packages/local-server/src/gitCommandRoutes.ts"",""line"":99,""value"":""Git confirmation not found""},{""file"":""packages/local-server/src/gitCommandRoutes.ts"",""line"":105,""value"":""Git confirmation not found""},{""file"":""packages/local-server/src/gitCommandRoutes.ts"",""line"":112,""value"":""Git confirmation not found""}]","这次 Git 操作的确认已失效或已使用。请重新打开操作预览，核对内容后确认。","The confirmation for this Git action expired or was already used. Reopen the action preview and review it before confirming.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_CONFIRMATION_ALREADY_RESOLVED","[{""file"":""packages/local-server/src/gitCommandRoutes.ts"",""line"":100,""value"":""Git confirmation is no longer pending""}]","这次 Git 操作的确认已失效或已使用。请重新打开操作预览，核对内容后确认。","The confirmation for this Git action expired or was already used. Reopen the action preview and review it before confirming.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_CONFIRMATION_ALREADY_CONSUMED","[{""file"":""packages/local-server/src/gitCommandRoutes.ts"",""line"":113,""value"":""Git confirmation has already been consumed by an operation""}]","这次 Git 操作的确认已失效或已使用。请重新打开操作预览，核对内容后确认。","The confirmation for this Git action expired or was already used. Reopen the action preview and review it before confirming.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_CONFIRMATION_NOT_CONFIRMED","[{""file"":""packages/local-server/src/gitCommandRoutes.ts"",""line"":115,""value"":""Git operation requires a confirmed confirmation""}]","这次 Git 操作需要你先查看并确认影响，请打开操作预览。","This Git action needs your review and confirmation. Open its preview first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_CONFIRMATION_REJECTED","[{""file"":""packages/local-server/src/gitCommandRoutes.ts"",""line"":114,""value"":""Git confirmation was rejected""}]","你已拒绝这次 Git 操作，它不会继续执行。","You declined this Git action. It will not continue.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_OPERATION_MISMATCH","[{""file"":""packages/local-server/src/gitCommandRoutes.ts"",""line"":116,""value"":""Git operation must match the confirmed operation""},{""file"":""packages/local-server/src/gitCommandRoutes.ts"",""line"":389,""value"":""Git operation must match the addressed route""}]","Git 操作内容与已确认的内容不一致，已停止执行。请重新查看操作预览。","The Git action differs from what you confirmed, so it was stopped. Review the action preview again.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_GIT_CONFIRMATION_COMMAND_CONFLICT","[{""file"":""packages/local-server/src/gitCommandRoutes.ts"",""line"":70,""value"":""Git confirmation command identity was reused with different input""}]","Git 操作内容与已确认的内容不一致，已停止执行。请重新查看操作预览。","The Git action differs from what you confirmed, so it was stopped. Review the action preview again.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_REOPEN_REQUIRED","[{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":951,""value"":""This task is completed or cancelled. Reopen the task and restore one archived conversation before continuing.""},{""file"":""packages/local-server/src/conversationCommandRoutes.ts"",""line"":413,""value"":""This task is completed or cancelled. Reopen the task and restore this conversation in the same action.""},{""file"":""packages/local-server/src/conversationExecutionContextOperations.ts"",""line"":182,""value"":""This task is completed or cancelled. Reopen the task and restore this conversation in the same action.""},{""file"":""packages/local-server/src/localServerPlatformRoutes.ts"",""line"":1251,""value"":""This task is completed or cancelled. Reopen the task and restore one archived conversation before continuing.""},{""file"":""packages/local-server/src/workManagementTaskOperations.ts"",""line"":407,""value"":""This task is completed or cancelled. Reopen the task before ${action === 'run' ? 'starting it again' : 'continuing it'}.""}]","这项任务已完成或取消。请先重新打开任务，再恢复其中一段已归档对话。","This task is completed or cancelled. Reopen it and restore one of its archived conversations first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_ENVIRONMENT_CHOICE_REQUIRED","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":261,""value"":""Choose a new task environment or an existing task environment.""}]","请先选择本次任务使用的工作目录。","Choose the working folder for this task first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_PUSH_WORKSPACE_MODE_REQUIRED","[{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":2575,""value"":""Choose the project directory or a worktree for this task push.""}]","请先选择本次任务使用的工作目录。","Choose the working folder for this task first.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_ENVIRONMENT_INVALID","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":270,""value"":""Selected task environment does not belong to this task.""}]","所选工作目录、分支或来源会话不属于这项任务，请重新选择。","The selected working folder, branch, or source conversation does not belong to this task. Select again.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_EXECUTION_CONTEXT_INVALID","[{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":2672,""value"":""The code review source conversation does not belong to this task.""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":2679,""value"":""The code review repository workspace is not part of the source conversation environment.""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":2706,""value"":""The exact review repository could not be restored in the source environment.""},{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":2969,""value"":""The source conversation does not belong to this task.""}]","所选工作目录、分支或来源会话不属于这项任务，请重新选择。","The selected working folder, branch, or source conversation does not belong to this task. Select again.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_LOCAL_BRANCH_INVALID","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":391,""value"":""Choose an existing local branch that belongs to ${task.taskCode}: ${registeredRepository.relativePath}.""}]","所选工作目录、分支或来源会话不属于这项任务，请重新选择。","The selected working folder, branch, or source conversation does not belong to this task. Select again.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_ENVIRONMENT_CLOSED","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":272,""value"":""Reclaimed task environments cannot be selected again.""}]","这个任务工作目录已关闭或移除，请选择可用目录或新建独立工作目录。","This task working folder was closed or removed. Select an available folder or create a separate working folder.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_WORKSPACE_CLOSED","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":278,""value"":""Task repository workspace is closed: ${workspace.repositoryRelativePath}""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1358,""value"":""Discarded task branches cannot be merged.""}]","这个任务工作目录已关闭或移除，请选择可用目录或新建独立工作目录。","This task working folder was closed or removed. Select an available folder or create a separate working folder.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_REPOSITORY_SNAPSHOT_CHANGED","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":319,""value"":""Project repositories changed after the task push form was opened. Refresh the repository selection and try again.""}]","任务或代码分支已发生变化，当前预览已过期。请重新打开预览，确认最新内容后继续。","The task or code branch has changed, so this preview is out of date. Reopen it and review the current content before continuing.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_PUSH_CONTEXT_CHANGED","[{""file"":""packages/local-server/src/taskRuntimeOperations.ts"",""line"":572,""value"":""任务上下文已变化，请刷新弹窗后重新确认。""},{""file"":""packages/local-server/src/taskRuntimeOperations.ts"",""line"":581,""value"":""当前任务历史会话信息已变化，请刷新后重试。""},{""file"":""packages/local-server/src/taskRuntimeOperations.ts"",""line"":595,""value"":""${input.kindLabel}选项已变化，请刷新后重试。""},{""file"":""packages/local-server/src/taskRuntimeOperations.ts"",""line"":605,""value"":""${input.kindLabel} ${option.taskCode} 的会话文件已变化，请刷新后重试。""}]","任务或代码分支已发生变化，当前预览已过期。请重新打开预览，确认最新内容后继续。","The task or code branch has changed, so this preview is out of date. Reopen it and review the current content before continuing.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_HEAD_CHANGED","[{""file"":""packages/local-server/src/conversationApplicationOperations.ts"",""line"":2769,""value"":""The integration does not contain a frozen task HEAD. Rebuild it before starting AI conflict resolution.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1425,""value"":""Task branch changed while the integration candidate was being created.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1631,""value"":""Task branch changed after the integration candidate was created. Rebuild from the current task HEAD.""}]","任务或代码分支已发生变化，当前预览已过期。请重新打开预览，确认最新内容后继续。","The task or code branch has changed, so this preview is out of date. Reopen it and review the current content before continuing.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TARGET_HEAD_CHANGED","[{""file"":""packages/git-core/src/index.ts"",""line"":1236,""value"":""Target branch advanced while the integration was being prepared.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1424,""value"":""Target branch changed while the integration candidate was being created.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1634,""value"":""Local target branch advanced while the integration was being prepared.""}]","任务或代码分支已发生变化，当前预览已过期。请重新打开预览，确认最新内容后继续。","The task or code branch has changed, so this preview is out of date. Reopen it and review the current content before continuing.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_INTEGRATION_ATTEMPT_STALE","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":1907,""value"":""来源分支或任务分支已推进，继续准备最新执行代次。""}]","任务或代码分支已发生变化，当前预览已过期。请重新打开预览，确认最新内容后继续。","The task or code branch has changed, so this preview is out of date. Reopen it and review the current content before continuing.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_REPOSITORY_SELECTION_INCOMPLETE","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":323,""value"":""Every registered project repository requires an explicit source branch.""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":382,""value"":""Choose a source branch for ${registeredRepository.relativePath}.""}]","请为每个代码仓库选择一个可用的来源分支，且不要重复选择仓库。","Choose one available source branch for each repository and avoid duplicate repositories.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_REPOSITORY_SELECTION_INVALID","[{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":328,""value"":""Task repository selections must be explicit and unique.""}]","请为每个代码仓库选择一个可用的来源分支，且不要重复选择仓库。","Choose one available source branch for each repository and avoid duplicate repositories.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
"ZEUS_TASK_SOURCE_BRANCH_INVALID","[{""file"":""packages/git-core/src/index.ts"",""line"":1582,""value"":""Remote source branch is invalid: ${normalized}""},{""file"":""packages/git-core/src/index.ts"",""line"":1585,""value"":""Remote source branch does not match its selected remote: ${normalized}""},{""file"":""packages/local-server/src/gitIntegrationOperations.ts"",""line"":404,""value"":""Choose an available local or locally known remote branch for ${registeredRepository.relativePath}.""}]","请为每个代码仓库选择一个可用的来源分支，且不要重复选择仓库。","Choose one available source branch for each repository and avoid duplicate repositories.","无默认操作","错误码或完整已知诊断原文匹配；嵌套原因优先","解决方向不授权动作；发送结果未知时只能核对状态，原业务门禁继续生效"
